MAJOR =,COLLEGE,COURSE 4-DIGIT CODES,NOTES
Accounting,CBA,ACCT  
Actuarial Science,ASC,ACTS
Actuarial Science,CBA,ACTS
Advertising,JMC,"JOUR, ADVT ",PER MIKE GOFF 5/3/2010]
Agribusiness (CASNR),CASNR,,"FOR ABUS-CBA MAJOR-NO COURSE TAB
ANR?"
Agribusiness (CBA),CBA,NO COURSE TAB,"PER D’VEE BUSS 5/3/2010] ;  
CALL DEPT FOR ANR-DR HANSON."
Agricultural Economics,ANR,,CALL DEPARTMENT -call in to RON HANSON
Agricultural Education  ,ANR,ALEC,PER DAN HUSMANN 5/3/2010
Agricultural Engineering,ENG,NO COURSE TAB,DR. MOORE 5/3/2010.  I wrote him an email asking if there was a way to poulate the field. 
Agricultural Journalism,ANR,ALEC,PER DAN HUSMANN 5/3/2010
Agronomy,ANR, AGRO  
Animal Science,ANR, ASCI    
Anthropology,ASC, ANTH 
Applied Science,ANR,,  Call department
Architecture,ARH, ARCH,PER STEPHANIE KUENNING 5/3/2010
Art,FPA,"AHIS, ARTP, CERM, DRAW, GRPH, PANT,PHOT,PRNT,SCLP,ARTS,WATC,AHIS",PER CHRISTY AGGENS 5/3/2010
Art History,FPA,AHIS ,PER CHRISTY AGGENS 5/3/2010
Art (K-12),EHS,"EDPS, TEAC ","PER JIM COTTER, 5/3/2010]"
Athletic Training Education,EHS, ATHT,PER SCHNEPF 5/3/2010
Biochemistry or Biological Chemistry,CASNR, BIOC
Biochemistry or Biological Chemistry,ASC, BIOC
Biological Sciences,ASC, BIOS   
Biological Systems Engineering,ENG,NO COURSE TAB,DR. MOORE 5/3/2010.  I wrote him an email asking if there was a way to poulate the field. 
Biology (7-12),EHS," EDPS, TEAC ","PER JIM COTTER, 5/3/2010]"
Broadcasting,JMC," JOUR, BRDC ",PER MIKE GOFF 5/3/2010]
Business Administration,CBA,"ACCT, ACTS, BLAW, BSAD,ECON,ENTR, FINA, MIST, MNGT,MRKT ",PER D’VEE BUSS 5/3/2010] 
Business Education/Cooperative Education,EHS,"  EDPS, TEAC ","PER JIM COTTER, 5/3/2010]"
Chemical Engineering,ENG,NO COURSE TAB,DR. MOORE 5/3/2010.  I wrote him an email asking if there was a way to poulate the field. 
Chemistry,ASC, CHEM 
