Music Education,FPA,"MUSC,MUAP,MUCP,MUOP,MUDC,MUCO,MUNM,MUSR,MUED"
Natural Resource & Environmental Economics,ANR," NREE, NRES "
Nutrition & Dietetics,EHS, NUTR
"Nutrition, Exercise & Health Sciences",EHS, NUTR 
Nutrition Science,EHS, NUTR 
Philosophy,ASC, PHIL
Physical Science Education (7-12),EHS," EDPS, TEAC "
Physics Education (7-12),EHS," EDPS, TEAC "
Physics,ASC," PHYS, ASTR"
Plant Biology (CASNR),CASNR,"AGRO, HORT, TLMT, PLPT"
Plant Biology (ASC),ASC,PLPT
Plant Protection Sciences,ANR,PLPT
Political Science,ASC, POLS 
Political Science and History Education (7-12),EHS," EDPS, TEAC "
PGA Golf Management,ANR, PGAM
Psychology,ASC, PSYC  
Reading and Writing Education (7-12),EHS," EDPS, TEAC "
Russian (ASC),ASC, RUSS
Russian Education (7-12),EHS," EDPS, TEAC "
Science Education (7-12),EHS," EDPS, TEAC "
Social Science (7-12),EHS," EDPS, TEAC "
Sociology,ASC, SOCI
Spanish (ASC),ASC, SPAN
Spanish Education (7-12),EHS," EDPS, TEAC "
Speech & English Education (7-12),EHS," EDPS, TEAC "
Speech-Language Pathology & Audiology (ASC),ASC, SLPA 
Statistics,CASNR,STAT
Statistics Minor (ASC),ASC,STAT
Supply Chain Management,CBA,SCMS
Textile and Apparel Design,EHS, TMFD
Textile Science,EHS, TMFD
"Textiles, Clothing & Design/Communications",EHS, TMFD
Theatre & English Education (7-12),EHS," EDPS, TEAC "
Theatre-Design & Technical Production,FPA, THEA
Theatre-Directing & Management,FPA,THEA
Theatre-Film & New Media,FPA,THEA
Theatre-Performance ,FPA,THEA
Turfgrass & Landscape Management,ANR,"AGRO, HORT, TLMT"
University Studies,ASC,
Veterinary Science,ANR, VBMS
Veterinary Technology,ANR, VBMS 
Water Science,ANR,  WATS
Women's & Gender Studies,ASC, WMNS
